gp_id,gp_label,site_name,patient_count,rec_count,poor_pcg_count,poor_ecg_count,murmur_flag_count,low_ef_flag_count,af_flag_count,assigned_rec_count,assigned_poor_pcg_count,assigned_poor_ecg_count,assigned_murmur_flag_count,assigned_low_ef_flag_count,assigned_af_flag_count
603,GP-603,Victoria Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
604,GP-604,Meadow View Surgery,19,30,3,7,0,0,1,21,1,2,0,0,1
605,GP-605,Golbourne Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
606,GP-606,North End Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
607,GP-607,Forty Willows Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
608,GP-608,Hillcrest Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
609,GP-609,Great Chapel Street Medical Centre,17,31,2,2,2,6,0,17,0,0,1,6,0
610,GP-610,Park Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
611,GP-611,Honeypot Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
612,GP-612,Crosslands Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
613,GP-613,Allendale Road Surgery,1,2,0,0,0,1,0,1,0,0,0,0,0
614,GP-614,Redwood Practice,0,0,0,0,0,0,0,0,0,0,0,0,0
615,GP-615,Gladstone Medical Centre,1,1,0,0,0,0,0,1,0,0,0,0,0
616,GP-616,Holland Park Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
617,GP-617,Foreland Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
618,GP-618,Premier Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
619,GP-619,Alperton Medical Centre,1,13,0,3,0,1,1,1,0,0,0,0,0
620,GP-620,Freuchen Medical Centre,1,3,0,1,0,0,0,1,0,0,0,0,0
621,GP-621,Chiswick Family Practice E85130,4,8,1,2,0,1,0,4,0,0,0,1,0
622,GP-622,Barlby Surgery,7,8,0,0,1,1,0,7,0,0,1,1,0
623,GP-623,Crosslands Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
624,GP-624,Holland Park Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
625,GP-625,Holland Park Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
626,GP-626,West End Surgery,0,5,0,0,0,0,0,0,0,0,0,0,0
627,GP-627,The Practice Feltham,2,13,0,0,0,0,1,2,0,0,0,0,0
628,GP-628,Honeypot Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
629,GP-629,Preston Road Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
630,GP-630,Brampton Health Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
631,GP-631,Premier Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
632,GP-632,Golbourne Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
633,GP-633,Pimlico Health at The Marven Surgery,0,1,0,0,0,0,0,0,0,0,0,0,0
634,GP-634,Meadow View Surgery,59,63,0,5,5,6,1,60,0,2,4,6,1
635,GP-635,Holland Park Surgery,1,30,0,5,2,3,2,1,0,0,0,0,0
636,GP-636,Preston Medical Centre,27,39,2,5,5,5,3,28,2,1,4,3,2
637,GP-637,The Practice Heart of Hounslow,0,0,0,0,0,0,0,0,0,0,0,0,0
638,GP-638,Perivale Medical Clinic,0,1,0,1,0,0,0,0,0,0,0,0,0
639,GP-639,Crosslands Surgery,0,5,0,1,0,2,0,0,0,0,0,0,0
640,GP-640,Golborne Medical Centre E87742,16,48,2,10,1,3,7,16,0,0,0,1,2
641,GP-641,Pimlico Health at The Marven Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
642,GP-642,Fitzrovia Medical Centre,2,24,4,2,0,5,0,2,0,0,0,0,0
643,GP-643,Townfield Doctors Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
644,GP-644,Brook Green Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
645,GP-645,Roxbourne Medical Centre,3,25,3,4,0,2,0,3,0,0,0,1,0
646,GP-646,The Practice Feltham,13,39,6,6,4,4,2,13,3,1,1,2,0
647,GP-647,Kensington Park Medical Centre,10,20,0,8,1,3,0,11,0,1,1,2,0
648,GP-648,Barlby Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
649,GP-649,Freuchen Medical Centre,1,5,2,2,0,0,1,1,1,0,0,0,0
650,GP-650,Victoria Medical Centre,0,11,1,3,0,2,0,0,0,0,0,0,0
651,GP-651,Earls Court Surgery,7,28,1,2,0,0,1,11,1,0,0,0,0
652,GP-652,Walnut Way Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
653,GP-653,Victoria Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
654,GP-654,Headstone Road Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
655,GP-655,Chestnut Practice,1,6,1,1,0,0,0,1,0,0,0,0,0
656,GP-656,Spring Grove Medical Practice,0,1,0,1,1,0,0,0,0,0,0,0,0
657,GP-657,Kings Road Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
658,GP-658,Meadow View Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
659,GP-659,Kings Road Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
660,GP-660,The Lilyville Surgery,5,15,0,0,2,6,1,6,0,0,1,1,1
661,GP-661,Spring Grove Medical Practice,32,82,4,10,6,22,8,33,2,0,4,5,2
662,GP-662,Townfield Doctors Surgery,2,6,0,0,0,1,0,2,0,0,0,0,0
663,GP-663,Brook Green Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
664,GP-664,Hammersmith Surgery,13,76,1,7,9,9,9,15,0,0,3,4,2
665,GP-665,Acorn Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
666,GP-666,Redwood Practice,195,219,7,8,10,18,8,195,5,1,7,17,7
667,GP-667,Hammersmith Surgery,1,128,3,24,25,26,9,1,0,0,0,0,0
668,GP-668,Walnut Way Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
669,GP-669,High Street Surgery,0,10,0,0,0,0,1,0,0,0,0,0,0
